Level Title,Course ID,Username,Game Style,Theme,Brief Description,Difficulty,Picture
On a Rail,DC80-0000-01E3-286D,,SMW,Castle,"A difficult course full of skull platforms, unchained chomps, tracks, and rage!",Super Expert,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHk9ZsmmIw
Don't Move! 1,5F9C-0000-01D9-0DAE,Aleexmaan,NSMBU,Automatic,An automatic course I made :),Easy,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHk7_vGlTA
Flappy bird Mario!,8FD5-0000-01D9-E9A0,Aleexmaan,NSMBU,Tribute,A tribute course of Flappy Bird game :) can you beat it?,Medium/Hard,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHk8INsAnQ
90's,156E-0000-0095-4C28,rwelsh9,SMB,Ground,"Platforming! and Warp pipes, with a twist.",Medium,
Dangerous Flying Platforms,6E4F-0000-0090-6517,Djidas,SMB3,Ground,Classic and addictive level of platform with challenge !,Hard,
"""P""ower Running With the Stars ",1487-0000-003F-8B4B,Teccy,SMW,Underground,"Utilize P-Switches and Stars to explore a cave, but you'll need to take to the air when you go deeper underground.",Hard,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iZpzwwsIy2a8N
[?¿? 1-1] A beginning,D00B-0000-0061-5820,Elenfil,SMW,Ground,Introduction level (revisit of 1-1 from SMB),Easy,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iae7owVOUSkBG
[?¿? 1-2] UnderGoomba,2161-0000-0064-D52A,Elenfil,SMW,Ground/Undergound,Introduction of some mechanics with goomba,Easy/Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaqSZw-Z88OGY
[?¿? 1-3] Air Bomb,7A45-0000-0061-60FB,Elenfil,SMW,Ground,Use of bobombs,Easy/Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iafCjALm2VyhI
[?¿? 1-4] Brain Castle,6770-0000-0064-E3C5,Elenfil,SMW,Castle/Underground,Classical boss level with puzzle features,Medium,https://d3esbfg30x759i.cloudfront.net/ss/WVW69iaqoOA54aFRES
['.'] <3,33EE-0000-0064-1C03,Mayo,SMB,Ghost House,Ashley's walking to her scary mansion. But evil ghosts have appeared,Very Hard,
♪ Earthbound: Memories of Home ♪,B2F0-0000-004E-9508,pilcrow,SMB,Ground,"Music level --- bouncing Dry Bones play ""Home Sweet Home"" from Earthbound",,
1-1 (Trippy),376A-0000-004D-6EDE,shinryuu_,SMB,Ground,Was being stupid and messed around with a classic level,Easy,https://miiverse.nintendo.net/posts/AYMHAAACAAADVHkdCKkN4g
1-7 Catch the Wiggler Express!,BAF4-0000-0045-1872,Robotovrlord,SMW,Ground ,Wiggler's on the move! Jump on and ride past danger to the end!,Medium-Hard,
THE WORLD,5011-0000-0084-AF5A,RamiMardini,SMW,Ground/Airship,"Accurate jumps, hidden blocks, spinning boos, super difficult but fun to play.",Very Hard,
